Tipo de Inmueble,Direccion,Area Construida,Area Total,Pisos,dormitorios,baños,Cochera,Precio Soles,Precio Dolares
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, San Miguel",Área Construida : 70.26 m²,Área Ocupada : 70.26 m²,Pisos : 13,Habitaciones : 2,Baños : 2,Cocheras : 0,"S/. 1,700.00",USD 456.00
CASA URBANA EN VENTA,"Lima, Lima, San Juan de Lurigancho",Área Terreno : 90.00 m2,Área Construida : 30.00 m²,Pisos : 2,Habitaciones : 5,Baños : 2,Cocheras : 0,"S/. 333,900.00","USD 90,000.00"
DEPARTAMENTO DUPLEX EN ALQUILER,"Lima, Lima, Miraflores",Área Construida : 144.00 m²,Área Ocupada : 144.00 m²,Pisos : 4,Habitaciones : 3,Baños : 3,Cocheras : 2,"S/. 8,162.00","USD 2,200.00"
CASA URBANA EN VENTA,"Lima, Lima, La Victoria",Área Terreno : 111.70 m2,Área Construida : 351.00 m²,Pisos : 3,Habitaciones : 10,Baños : 3,Cocheras : 0,"S/. 1'261,400.00","USD 340,000.00"
TERRENO INDUSTRIAL EN VENTA,"Piura, Paita, Colan",Área Terreno : 400.00 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 51,940.00","USD 14,000.00"
ALMACÉN EN ALQUILER,"Lima, Lima, Lince",Área Construida : 225.00 m²,Área Ocupada : 0 m²,Pisos : 1,Habitaciones : 3,Baños : 2,Cocheras : 0,"S/. 6,000.00","USD 1,612.00"
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, Miraflores",Área Construida : 144.00 m²,Área Ocupada : 144.00 m²,Pisos : 4,Habitaciones : 3,Baños : 3,Cocheras : 2,"S/. 1'966,300.00","USD 530,000.00"
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Santiago de Surco",Área Construida : 150.00 m²,Área Ocupada : 190.00 m²,Pisos : 1,Habitaciones : 3,Baños : 2,Cocheras : 1,"S/. 760,550.00","USD 205,000.00"
TERRENO URBANO EN VENTA,"Lima, Lima, La Molina",Área Terreno : 122.00 m2,Área Construida : 102.00 m²,Pisos : 1,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 481,929.00","USD 129,900.00"
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Juan de Lurigancho",Área Construida : 144.00 m²,Área Ocupada : 144.00 m²,Pisos : 2,Habitaciones : 4,Baños : 1,Cocheras : 0,"S/. 363,580.00","USD 98,000.00"
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Juan de Lurigancho",Área Construida : 30.00 m²,Área Ocupada : 30.00 m²,Pisos : 4,Habitaciones : 1,Baños : 1,Cocheras : 0,"S/. 100,170.00","USD 27,000.00"
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Borja",Área Construida : 119.00 m²,Área Ocupada : 123.00 m²,Pisos : 2,Habitaciones : 3,Baños : 2,Cocheras : 3,"S/. 816,200.00","USD 220,000.00"
TERRENO URBANO EN VENTA,"Piura, Piura, Piura",Área Terreno : 200.00 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 234,000.00","USD 62,903.00"
CASA URBANA EN VENTA,"Lima, Lima, La Molina",Área Terreno : 122.00 m2,Área Construida : 102.00 m²,Pisos : 1,Habitaciones : 3,Baños : 2,Cocheras : 0,"S/. 481,929.00","USD 129,900.00"
DEPARTAMENTO EN VENTA,"Lima, Lima, Miraflores",Área Construida : 104.69 m²,Área Ocupada : 104.69 m²,Pisos : 0,Habitaciones : 3,Baños : 3,Cocheras : 1,"S/. 723,450.00","USD 195,000.00"
CASA URBANA EN VENTA,"Lambayeque, Chiclayo, Pimentel",Área Terreno : 125.00 m2,Área Construida : 375.00 m²,Pisos : 3,Habitaciones : 10,Baños : 5,Cocheras : 0,"S/. 600,000.00","USD 161,290.00"
TERRENO URBANO EN VENTA,"Arequipa, Islay, Mollendo",Área Terreno : 203.90 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 204,050.00","USD 55,000.00"
MINIDEPARTAMENTO EN ALQUILER,"Piura, Piura, Piura",Área Construida : 56.51 m²,Área Ocupada : 56.51 m²,Pisos : 4,Habitaciones : 2,Baños : 2,Cocheras : 0,S/. 800.00,USD 215.00
DEPARTAMENTO FLAT EN VENTA,"La Libertad, Trujillo, Trujillo",Área Construida : 85.00 m²,Área Ocupada : 85.00 m²,Pisos : 3,Habitaciones : 3,Baños : 3,Cocheras : 1,"S/. 445,200.00","USD 120,000.00"
DEPARTAMENTO EN VENTA,"Lima, Lima, Lince",Área Construida : 61.24 m²,Área Ocupada : 61.24 m²,Pisos : 4,Habitaciones : 2,Baños : 2,Cocheras : 1,"S/. 519,400.00","USD 140,000.00"
LOCAL COMERCIAL EN ALQUILER,"Junin, Huancayo, Huancayo",Área Construida : 185.00 m²,Área Ocupada : 0 m²,Pisos : 1,Habitaciones : 4,Baños : 2,Cocheras : 0,"S/. 1,600.00",USD 430.00
CASA EN VENTA,"Lima, Lima, Independencia",Área Terreno : 200.00 m2,Área Construida : 300.00 m²,Pisos : 2,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 575,050.00","USD 155,000.00"
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Surquillo",Área Construida : 62.98 m²,Área Ocupada : 62.98 m²,Pisos : 5,Habitaciones : 2,Baños : 1,Cocheras : 1,"S/. 352,450.00","USD 95,000.00"
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Santiago de Surco",Área Construida : 113.00 m²,Área Ocupada : 113.00 m²,Pisos : 4,Habitaciones : 3,Baños : 2,Cocheras : 1,"S/. 649,250.00","USD 175,000.00"
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, San Martin de Porres",Área Construida : 80.00 m²,Área Ocupada : 80.00 m²,Pisos : 5,Habitaciones : 3,Baños : 1,Cocheras : 0,"S/. 1,000.00",USD 268.00
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, Lima",Área Construida : 78.74 m²,Área Ocupada : 123.58 m²,Pisos : 4,Habitaciones : 3,Baños : 1,Cocheras : 0,"S/. 315,350.00","USD 85,000.00"
LOCAL COMERCIAL EN ALQUILER,"Lima, Lima, San Martin de Porres",Área Construida : 25.00 m²,Área Ocupada : 0 m²,Pisos : 1,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 1,000.00",USD 268.00
LOCAL EN ALQUILER,"Lima, Lima, Pachacamac",Área Construida : 130.00 m²,Área Ocupada : 0 m²,Pisos : 2,Habitaciones : 3,Baños : 1,Cocheras : 0,"S/. 3,000.00",USD 806.00
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Jesus Maria",Área Construida : 141.00 m²,Área Ocupada : 152.00 m²,Pisos : 2,Habitaciones : 3,Baños : 2,Cocheras : 0,"S/. 2,500.00",USD 672.00
DEPARTAMENTO EN ALQUILER,"Lima, Lima, Lima",Área Construida : 54.00 m²,Área Ocupada : 54.00 m²,Pisos : 11,Habitaciones : 2,Baños : 2,Cocheras : 1,"S/. 1,800.00",USD 483.00
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, San Juan de Miraflores",Área Construida : 56.00 m²,Área Ocupada : 56.00 m²,Pisos : 3,Habitaciones : 2,Baños : 1,Cocheras : 0,"S/. 1,000.00",USD 268.00
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Miraflores",Área Construida : 120.00 m²,Área Ocupada : 120.00 m²,Pisos : 4,Habitaciones : 3,Baños : 2,Cocheras : 1,"S/. 3,710.00","USD 1,000.00"
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Los Olivos",Área Construida : 87.02 m²,Área Ocupada : 87.02 m²,Pisos : 4,Habitaciones : 3,Baños : 2,Cocheras : 0,"S/. 278,250.00","USD 75,000.00"
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, Lurigancho",Área Construida : 87.27 m²,Área Ocupada : 87.27 m²,Pisos : 1,Habitaciones : 2,Baños : 2,Cocheras : 0,"S/. 270,792.00","USD 72,990.00"
DEPARTAMENTO EN ALQUILER,"Lima, Lima, Pueblo Libre",Área Construida : 121.18 m²,Área Ocupada : 121.18 m²,Pisos : 7,Habitaciones : 3,Baños : 2,Cocheras : 0,"S/. 2,690.00",USD 723.00
LOCAL COMERCIAL EN VENTA,"La Libertad, Trujillo, Huanchaco",Área Construida : 250.00 m²,Área Ocupada : 0 m²,Pisos : 2,Habitaciones : 4,Baños : 4,Cocheras : 0,"S/. 3,000.00",USD 806.00
TERRENO URBANO EN VENTA,"Lima, Lima, Punta Negra",Área Terreno : 456.00 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 422,940.00","USD 114,000.00"
TERRENO URBANO EN VENTA,"Arequipa, Arequipa, Cerro Colorado",Área Terreno : 477.12 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 1'298,500.00","USD 350,000.00"
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Miraflores",Área Construida : 68.08 m²,Área Ocupada : 68.08 m²,Pisos : 4,Habitaciones : 2,Baños : 2,Cocheras : 0,"S/. 2,800.00",USD 752.00
DEPARTAMENTO FLAT EN ALQUILER,"Piura, Piura, Veintiseis de Octubre",Área Construida : 96.11 m²,Área Ocupada : 96.11 m²,Pisos : 1,Habitaciones : 3,Baños : 1,Cocheras : 1,"S/. 1,800.00",USD 483.00
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Surquillo",Área Construida : 80.42 m²,Área Ocupada : 80.42 m²,Pisos : 4,Habitaciones : 2,Baños : 2,Cocheras : 1,"S/. 426,650.00","USD 115,000.00"
DEPARTAMENTO FLAT EN ALQUILER,"La Libertad, Trujillo, Trujillo",Área Construida : 172.50 m²,Área Ocupada : 172.50 m²,Pisos : 2,Habitaciones : 8,Baños : 5,Cocheras : 0,"S/. 4,452.00","USD 1,200.00"
CASA EN VENTA,"Lima, Lima, La Molina",Área Terreno : 602.20 m2,Área Construida : 355.18 m²,Pisos : 3,Habitaciones : 5,Baños : 2,Cocheras : 6,"S/. 2'949,450.00","USD 795,000.00"
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Santiago de Surco",Área Construida : 65.00 m²,Área Ocupada : 65.00 m²,Pisos : 3,Habitaciones : 2,Baños : 2,Cocheras : 1,"S/. 2,400.00",USD 645.00
CASA EN VENTA,"Lambayeque, Chiclayo, José Leonardo Ortiz",Área Terreno : 161.07 m2,Área Construida : 358.59 m²,Pisos : 2,Habitaciones : 7,Baños : 3,Cocheras : 2,"S/. 480,000.00","USD 129,032.00"
TERRENO URBANO EN VENTA,"La Libertad, Trujillo, Moche","Área Terreno : 1,209.67 m2",Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 493,430.00","USD 133,000.00"
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Villa María del Triunfo",Área Construida : 80.00 m²,Área Ocupada : 80.00 m²,Pisos : 3,Habitaciones : 2,Baños : 2,Cocheras : 0,S/. 850.00,USD 228.00
LOCAL COMERCIAL EN ALQUILER,"Lima, Lima, San Juan de Lurigancho",Área Construida : 450.00 m²,Área Ocupada : 0 m²,Pisos : 0,Habitaciones : 4,Baños : 3,Cocheras : 0,"S/. 10,388.00","USD 2,800.00"
DEPARTAMENTO EN VENTA,"Lima, Lima, Punta Hermosa",Área Construida : 92.26 m²,Área Ocupada : 92.26 m²,Pisos : 1,Habitaciones : 3,Baños : 2,Cocheras : 0,"S/. 519,400.00","USD 140,000.00"
TERRENO URBANO EN VENTA,"Lima, Lima, La Molina",Área Terreno : 122.00 m2,Área Construida : 102.00 m²,Pisos : 1,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 481,929.00","USD 129,900.00"
TERRENO URBANO EN VENTA,"Lima, Lima, Miraflores",Área Terreno : 574.00 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 4'081,000.00","USD 1'100,000.00"
DEPARTAMENTO EN ALQUILER,"Lima, Lima, Villa María del Triunfo",Área Construida : 43.00 m²,Área Ocupada : 43.00 m²,Pisos : 2,Habitaciones : 2,Baños : 1,Cocheras : 0,S/. 650.00,USD 174.00
LOCAL EN VENTA,"Lima, Lima, La Victoria",Área Construida : 5.88 m²,Área Ocupada : 0 m²,Pisos : 2,Habitaciones : 0,Baños : 0,Cocheras : 0,S/. 178.00,USD 48.00
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Miraflores",Área Construida : 64.00 m²,Área Ocupada : 64.00 m²,Pisos : 3,Habitaciones : 2,Baños : 2,Cocheras : 1,"S/. 2,597.00",USD 700.00
DEPARTAMENTO EN CONDOMINIO EN VENTA,"Lima, Lima, San Miguel",Área Construida : 82.00 m²,Área Ocupada : 82.00 m²,Pisos : 2,Habitaciones : 3,Baños : 2,Cocheras : 1,S/. 482.00,USD 130.00
TERRENO URBANO EN VENTA,"Lima, Cañete, Quilmana","Área Terreno : 1,028.41 m2",Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 222,600.00","USD 60,000.00"
CASA EN VENTA,"Lima, Lima, San Isidro",Área Terreno : 518.00 m2,Área Construida : 531.00 m²,Pisos : 3,Habitaciones : 4,Baños : 4,Cocheras : 2,"S/. 4'785,900.00","USD 1'290,000.00"
DEPARTAMENTO EN VENTA,"Lima, Lima, Lince",Área Construida : 57.75 m²,Área Ocupada : 57.75 m²,Pisos : 10,Habitaciones : 2,Baños : 2,Cocheras : 0,"S/. 400,000.00","USD 107,526.00"
TERRENO URBANO EN VENTA,"La Libertad, Trujillo, Salaverry",Área Terreno : 90.00 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 72,345.00","USD 19,500.00"
DEPARTAMENTO EN ALQUILER,"Lima, Lima, Miraflores",Área Construida : 60.00 m²,Área Ocupada : 60.00 m²,Pisos : 3,Habitaciones : 2,Baños : 21,Cocheras : 1,"S/. 2,578.00",USD 695.00
TERRENO URBANO EN VENTA,"Arequipa, Arequipa, Cerro Colorado",Área Terreno : 40.03 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 140,980.00","USD 38,000.00"
LOCAL EN ALQUILER,"Lima, Lima, Pachacamac",Área Construida : 120.00 m²,Área Ocupada : 0 m²,Pisos : 1,Habitaciones : 0,Baños : 2,Cocheras : 0,"S/. 4,000.00","USD 1,075.00"
LOCAL INDUSTRIAL EN VENTA,"Lima, Lima, Los Olivos","Área Construida : 1,700.00 m²",Área Ocupada : 0 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 5'268,200.00","USD 1'420,000.00"
DEPARTAMENTO EN ALQUILER,"Lima, Lima, Chaclacayo",Área Construida : 83.30 m²,Área Ocupada : 83.30 m²,Pisos : 0,Habitaciones : 3,Baños : 2,Cocheras : 1,"S/. 1,500.00",USD 403.00
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Barranco",Área Construida : 50.00 m²,Área Ocupada : 55.00 m²,Pisos : 4,Habitaciones : 1,Baños : 2,Cocheras : 1,"S/. 2,350.00",USD 631.00
DEPARTAMENTO EN ALQUILER,"Lima, Lima, Comas",Área Construida : 50.00 m²,Área Ocupada : 50.00 m²,Pisos : 3,Habitaciones : 2,Baños : 1,Cocheras : 0,S/. 850.00,USD 228.00
CASA URBANA EN VENTA,"Lima, Lima, Villa María del Triunfo",Área Terreno : 213.00 m2,Área Construida : 100.00 m²,Pisos : 1,Habitaciones : 3,Baños : 2,Cocheras : 3,"S/. 519,400.00","USD 140,000.00"
LOCAL EN ALQUILER,"Lima, Lima, Pachacamac",Área Construida : 130.00 m²,Área Ocupada : 0 m²,Pisos : 2,Habitaciones : 3,Baños : 1,Cocheras : 0,"S/. 3,000.00",USD 806.00
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, San Isidro",Área Construida : 150.75 m²,Área Ocupada : 216.35 m²,Pisos : 7,Habitaciones : 3,Baños : 3,Cocheras : 2,"S/. 1'480,290.00","USD 399,000.00"
TERRENO URBANO EN VENTA,"Lima, Lima, Santiago de Surco",Área Terreno : 160.00 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 890,400.00","USD 240,000.00"
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, San Miguel",Área Construida : 54.00 m²,Área Ocupada : 54.00 m²,Pisos : 8,Habitaciones : 2,Baños : 2,Cocheras : 0,"S/. 1,600.00",USD 430.00
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Ate",Área Construida : 90.28 m²,Área Ocupada : 90.28 m²,Pisos : 2,Habitaciones : 3,Baños : 1,Cocheras : 0,"S/. 241,150.00","USD 65,000.00"
CASA EN VENTA,"Lima, Lima, La Molina",Área Terreno : 602.20 m2,Área Construida : 355.18 m²,Pisos : 3,Habitaciones : 5,Baños : 2,Cocheras : 6,"S/. 2'949,450.00","USD 795,000.00"
DEPARTAMENTO EN VENTA,"Lima, Lima, Lince",Área Construida : 57.75 m²,Área Ocupada : 57.75 m²,Pisos : 10,Habitaciones : 2,Baños : 2,Cocheras : 0,"S/. 400,000.00","USD 107,526.00"
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Surquillo",Área Construida : 80.42 m²,Área Ocupada : 80.42 m²,Pisos : 4,Habitaciones : 2,Baños : 2,Cocheras : 1,"S/. 426,650.00","USD 115,000.00"
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Miraflores",Área Construida : 64.00 m²,Área Ocupada : 64.00 m²,Pisos : 3,Habitaciones : 2,Baños : 2,Cocheras : 1,"S/. 2,597.00",USD 700.00
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Los Olivos",Área Construida : 71.97 m²,Área Ocupada : 71.97 m²,Pisos : 5,Habitaciones : 3,Baños : 2,Cocheras : 0,"S/. 426,650.00","USD 115,000.00"
TERRENO URBANO EN VENTA,"La Libertad, Trujillo, Salaverry",Área Terreno : 90.00 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 72,345.00","USD 19,500.00"
OTROS EN VENTA,"Lima, Lima, San Isidro",Área Terreno : 180.00 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 371,000.00","USD 100,000.00"
DEPARTAMENTO FLAT EN VENTA,"Lima, Prov. Const. Del Callao, Callao",Área Construida : 112.00 m²,Área Ocupada : 112.00 m²,Pisos : 2,Habitaciones : 4,Baños : 2,Cocheras : 0,"S/. 333,900.00","USD 90,000.00"
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Barranco",Área Construida : 52.00 m²,Área Ocupada : 52.00 m²,Pisos : 7,Habitaciones : 2,Baños : 2,Cocheras : 1,"S/. 2,800.00",USD 752.00
DEPARTAMENTO EN ALQUILER,"Lima, Lima, Comas",Área Construida : 50.00 m²,Área Ocupada : 50.00 m²,Pisos : 3,Habitaciones : 2,Baños : 1,Cocheras : 0,S/. 850.00,USD 228.00
TERRENO URBANO EN VENTA,"Lima, Lima, Miraflores",Área Terreno : 574.00 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 4'081,000.00","USD 1'100,000.00"
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, Los Olivos",Área Construida : 81.50 m²,Área Ocupada : 81.50 m²,Pisos : 5,Habitaciones : 3,Baños : 2,Cocheras : 0,"S/. 463,750.00","USD 125,000.00"
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, San Miguel",Área Construida : 54.00 m²,Área Ocupada : 54.00 m²,Pisos : 8,Habitaciones : 2,Baños : 2,Cocheras : 0,"S/. 1,600.00",USD 430.00
DEPARTAMENTO EN ALQUILER,"Lima, Lima, Chaclacayo",Área Construida : 83.30 m²,Área Ocupada : 83.30 m²,Pisos : 0,Habitaciones : 3,Baños : 2,Cocheras : 1,"S/. 1,500.00",USD 403.00
CASA EN VENTA,"Lambayeque, Chiclayo, José Leonardo Ortiz",Área Terreno : 161.07 m2,Área Construida : 358.59 m²,Pisos : 2,Habitaciones : 7,Baños : 3,Cocheras : 2,"S/. 480,000.00","USD 129,032.00"
TERRENO URBANO EN VENTA,"Lima, Cañete, Quilmana","Área Terreno : 1,028.41 m2",Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 222,600.00","USD 60,000.00"
TERRENO URBANO EN VENTA,"Arequipa, Arequipa, Cerro Colorado",Área Terreno : 40.03 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 140,980.00","USD 38,000.00"
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Los Olivos",Área Construida : 71.97 m²,Área Ocupada : 71.97 m²,Pisos : 2,Habitaciones : 3,Baños : 2,Cocheras : 0,"S/. 426,650.00","USD 115,000.00"
TERRENO URBANO EN VENTA,"Ica, Chincha, Chincha Alta",Área Terreno : 103.73 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 102,025.00","USD 27,500.00"
TERRENO URBANO EN VENTA,"Lima, Lima, Punta Negra",Área Terreno : 228.00 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 253,764.00","USD 68,400.00"
TERRENO URBANO EN VENTA,"Lambayeque, Chiclayo, Pimentel",Área Terreno : 412.50 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 519,400.00","USD 140,000.00"
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Lince",Área Construida : 82.00 m²,Área Ocupada : 82.00 m²,Pisos : 5,Habitaciones : 2,Baños : 2,Cocheras : 1,"S/. 686,350.00","USD 185,000.00"
LOCAL COMERCIAL EN ALQUILER,"Lima, Lima, San Martin de Porres",Área Construida : 600.00 m²,Área Ocupada : 0 m²,Pisos : 1,Habitaciones : 0,Baños : 6,Cocheras : 2,"S/. 7,500.00","USD 2,016.00"
TERRENO EN VENTA,"Lima, Lima, Pachacamac","Área Terreno : 20,508.00 m2",Área Construida : 50.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 11'412,702.00","USD 3'076,200.00"
LOCAL EN VENTA,"Lima, Lima, La Victoria",Área Construida : 5.88 m²,Área Ocupada : 0 m²,Pisos : 2,Habitaciones : 0,Baños : 0,Cocheras : 0,S/. 178.00,USD 48.00
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Villa María del Triunfo",Área Construida : 80.00 m²,Área Ocupada : 80.00 m²,Pisos : 3,Habitaciones : 2,Baños : 2,Cocheras : 0,S/. 850.00,USD 228.00
DEPARTAMENTO EN ALQUILER,"Arequipa, Arequipa, Jose Luis Bustamante Y Rivero",Área Construida : 100.00 m²,Área Ocupada : 100.00 m²,Pisos : 3,Habitaciones : 3,Baños : 3,Cocheras : 0,"S/. 1,500.00",USD 403.00
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Surquillo",Área Construida : 70.90 m²,Área Ocupada : 70.90 m²,Pisos : 7,Habitaciones : 3,Baños : 2,Cocheras : 0,"S/. 474,880.00","USD 128,000.00"
LOCAL COMERCIAL EN VENTA,"La Libertad, Trujillo, Huanchaco",Área Construida : 250.00 m²,Área Ocupada : 0 m²,Pisos : 2,Habitaciones : 4,Baños : 4,Cocheras : 0,"S/. 3,000.00",USD 806.00
DEPARTAMENTO FLAT EN VENTA,"Lima, Prov. Const. Del Callao, Bellavista",Área Construida : 72.00 m²,Área Ocupada : 72.00 m²,Pisos : 3,Habitaciones : 2,Baños : 2,Cocheras : 0,"S/. 204,050.00","USD 55,000.00"
ALMACÉN EN ALQUILER,"Lima, Lima, Lince",Área Construida : 225.00 m²,Área Ocupada : 0 m²,Pisos : 1,Habitaciones : 3,Baños : 2,Cocheras : 0,"S/. 6,000.00","USD 1,612.00"
CASA EN VENTA,"Lima, Lima, Comas",Área Terreno : 150.00 m2,Área Construida : 600.00 m²,Pisos : 2,Habitaciones : 4,Baños : 4,Cocheras : 0,"S/. 185,500.00","USD 50,000.00"
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Borja",Área Construida : 94.06 m²,Área Ocupada : 94.06 m²,Pisos : 5,Habitaciones : 3,Baños : 2,Cocheras : 0,"S/. 445,200.00","USD 120,000.00"
LOCAL COMERCIAL EN ALQUILER,"Lambayeque, Chiclayo, Eten Puerto",Área Construida : 360.00 m²,Área Ocupada : 0 m²,Pisos : 4,Habitaciones : 11,Baños : 11,Cocheras : 0,"S/. 3,339.00",USD 900.00
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, Lurigancho",Área Construida : 87.27 m²,Área Ocupada : 87.27 m²,Pisos : 1,Habitaciones : 2,Baños : 2,Cocheras : 0,"S/. 270,792.00","USD 72,990.00"
LOCAL COMERCIAL EN VENTA,"Lambayeque, Chiclayo, Eten Puerto",Área Construida : 360.00 m²,Área Ocupada : 0 m²,Pisos : 4,Habitaciones : 11,Baños : 0,Cocheras : 0,"S/. 556,500.00","USD 150,000.00"
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Miraflores",Área Construida : 120.00 m²,Área Ocupada : 120.00 m²,Pisos : 4,Habitaciones : 3,Baños : 2,Cocheras : 1,"S/. 3,710.00","USD 1,000.00"
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Surquillo",Área Construida : 70.90 m²,Área Ocupada : 70.90 m²,Pisos : 7,Habitaciones : 3,Baños : 2,Cocheras : 0,"S/. 474,880.00","USD 128,000.00"
TERRENO URBANO EN VENTA,"Lima, Lima, Lurigancho",Área Terreno : 184.20 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 278,250.00","USD 75,000.00"
DEPARTAMENTO EN VENTA,"Lima, Lima, San Borja",Área Construida : 131.02 m²,Área Ocupada : 131.02 m²,Pisos : 5,Habitaciones : 3,Baños : 2,Cocheras : 2,"S/. 1'072,190.00","USD 289,000.00"
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Santiago de Surco",Área Construida : 113.00 m²,Área Ocupada : 113.00 m²,Pisos : 4,Habitaciones : 3,Baños : 2,Cocheras : 1,"S/. 649,250.00","USD 175,000.00"
TERRENO URBANO EN VENTA,"Lima, Lima, Punta Negra",Área Terreno : 456.00 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 422,940.00","USD 114,000.00"
DEPARTAMENTO FLAT EN VENTA,"La Libertad, Trujillo, Trujillo",Área Construida : 85.00 m²,Área Ocupada : 85.00 m²,Pisos : 3,Habitaciones : 3,Baños : 3,Cocheras : 1,"S/. 445,200.00","USD 120,000.00"
DEPARTAMENTO FLAT EN VENTA,"Lambayeque, Chiclayo, Chiclayo",Área Construida : 60.76 m²,Área Ocupada : 60.76 m²,Pisos : 3,Habitaciones : 2,Baños : 1,Cocheras : 0,"S/. 185,500.00","USD 50,000.00"
